Reference,Device,SymbolPin,PhysicalTerminal,Net
UWL,좌측 UWB 베이스,4,USB_GND,GND
UWR,우측 UWB 베이스,1,USB_VBUS,USB_UWBR_5
UWR,우측 UWB 베이스,2,USB_D-,USB_UWBR_DM
UWR,우측 UWB 베이스,3,USB_D+,USB_UWBR_DP
UWR,우측 UWB 베이스,4,USB_GND,GND
IMU1,관성 센서,1,VIN,P3V3
IMU1,관성 센서,2,GND,GND
IMU1,관성 센서,3,SCL / SCK,IMU_SCK
IMU1,관성 센서,4,DI / MOSI,IMU_MOSI
IMU1,관성 센서,5,SDA / MISO,IMU_MISO
IMU1,관성 센서,6,CS,IMU_CS
IMU1,관성 센서,7,INT,IMU_INT
IMU1,관성 센서,8,RST,IMU_RST
IMU1,관성 센서,9,P0,P3V3
IMU1,관성 센서,10,P1,P3V3
TOF1,근거리 거리 센서,1,VIN,P3V3
TOF1,근거리 거리 센서,2,GND,GND
TOF1,근거리 거리 센서,3,SDA,TOF_SDA
TOF1,근거리 거리 센서,4,SCL,TOF_SCL
R1,R1 1kΩ,1,1,ESP_L_TX
R1,R1 1kΩ,2,2,ML_RX
R2,R2 1kΩ,1,1,ESP_R_TX
R2,R2 1kΩ,2,2,MR_RX
R3,R3 220Ω,1,1,PWM_L_5V
R3,R3 220Ω,2,2,SERVO_L
R4,R4 220Ω,1,1,PWM_R_5V
R4,R4 220Ω,2,2,SERVO_R
R5,R5 10kΩ,1,1,PWM_L_3V3
R5,R5 10kΩ,2,2,GND
R6,R6 10kΩ,1,1,PWM_R_3V3
R6,R6 10kΩ,2,2,GND
U2,서보 PWM 레벨 버퍼,1,1 / 1OE,GND
U2,서보 PWM 레벨 버퍼,2,2 / 1A,PWM_L_3V3
U2,서보 PWM 레벨 버퍼,3,3 / 1Y,PWM_L_5V
U2,서보 PWM 레벨 버퍼,4,4 / 2OE,GND
U2,서보 PWM 레벨 버퍼,5,5 / 2A,PWM_R_3V3
U2,서보 PWM 레벨 버퍼,6,6 / 2Y,PWM_R_5V
U2,서보 PWM 레벨 버퍼,7,7 / GND,GND
U2,서보 PWM 레벨 버퍼,8,8 / 3Y,NC_U2_8
U2,서보 PWM 레벨 버퍼,9,9 / 3A,GND
U2,서보 PWM 레벨 버퍼,10,10 / 3OE,LOGIC5
U2,서보 PWM 레벨 버퍼,11,11 / 4Y,NC_U2_11
U2,서보 PWM 레벨 버퍼,12,12 / 4A,GND
U2,서보 PWM 레벨 버퍼,13,13 / 4OE,LOGIC5
U2,서보 PWM 레벨 버퍼,14,14 / VCC,LOGIC5
C1,버퍼 디커플링,1,1,LOGIC5
C1,버퍼 디커플링,2,2,GND
